Date,Task,Weight
13/07/2016,gratc,13.95
14/07/2016,gratc,13.96
15/07/2016,gratc,14.02
22/07/2016,gratc,13.9
27/07/2016,gratc,13.65
28/07/2016,gratc,13.62
29/07/2016,gratc,13.63
03/08/2016,gratc,13.6
04/08/2016,gratc,13.54
05/08/2016,gratc,13.5
09/08/2016,gratc,13.65
10/08/2016,gratc,13.54
11/08/2016,gratc,13.46
12/08/2016,gratc,13.5
